fibrosis_type,density,fiber_angle_deg,trials,successes,failures
Stochastic,0.2,90,100,0,100
Stochastic,0.25,0,100,38,62
Stochastic,0.25,30,100,0,100
Stochastic,0.25,60,100,0,100
Stochastic,0.25,90,100,27,73
Stochastic,0.3,0,100,0,100
Stochastic,0.3,30,100,0,100
Stochastic,0.3,60,100,0,100
Stochastic,0.3,90,100,0,100
Stochastic,0.35,0,100,0,100
Stochastic,0.35,30,100,7,93
Stochastic,0.35,60,100,6,94
Stochastic,0.35,90,100,0,100
Stochastic,0.4,0,100,0,100
Stochastic,0.4,30,100,13,87
Stochastic,0.4,60,100,6,94
Stochastic,0.4,90,100,0,100
Stochastic,0.45,0,100,0,100
Stochastic,0.45,30,100,0,100
Stochastic,0.45,60,100,0,100
Stochastic,0.45,90,100,0,100
Stochastic,0.5,0,100,0,100
Stochastic,0.5,30,100,0,100
Stochastic,0.5,60,100,0,100
Stochastic,0.5,90,100,0,100
Stochastic,0.55,0,100,0,100
Stochastic,0.55,30,100,0,100
Stochastic,0.55,60,100,0,100
Stochastic,0.55,90,100,0,100
Stochastic,0.6,0,100,0,100
Stochastic,0.6,30,100,0,100
Stochastic,0.6,60,100,0,100
Stochastic,0.6,90,100,0,100
Stochastic,0.65,0,100,0,100
Stochastic,0.65,30,100,0,100
Stochastic,0.65,60,100,0,100
Stochastic,0.65,90,100,0,100
