fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.1,45588,2.0,0.0
compact,0,0.1,31886,2.0,0.0
compact,0,0.1,4383,2.0,0.0
compact,0,0.1,33200,2.0,0.0
compact,0,0.1,65344,2.0,0.0
compact,0,0.1,61010,2.0,0.0
compact,0,0.1,47678,2.0,0.0
compact,0,0.1,66684,2.0,0.0
compact,0,0.1,76232,2.0,0.0
compact,0,0.1,26255,2.0,0.0
compact,0,0.1,73096,2.0,0.0
compact,0,0.1,43438,2.0,0.0
compact,0,0.1,5098,2.0,0.0
compact,0,0.1,16858,2.0,0.0
compact,0,0.1,31828,2.0,0.0
compact,0,0.1,18561,2.0,0.0
compact,0,0.1,37106,2.0,0.0
compact,0,0.1,95865,2.0,0.0
compact,0,0.1,6797,2.0,0.0
compact,0,0.1,85634,2.0,0.0
compact,0,0.1,3677,2.0,0.0
compact,0,0.1,94215,2.0,0.0
compact,0,0.1,67389,2.0,0.0
compact,0,0.1,58477,2.0,0.0
compact,0,0.1,41169,2.0,0.0
compact,0,0.1,44373,2.0,0.0
compact,0,0.1,13391,2.0,0.0
compact,0,0.1,13265,2.0,0.0
compact,0,0.1,92885,2.0,0.0
compact,0,0.1,56788,2.0,0.0
compact,0,0.1,44442,2.0,0.0
compact,0,0.1,29545,2.0,0.0
compact,0,0.1,4443,2.0,0.0
compact,0,0.1,39454,2.0,0.0
compact,0,0.1,10608,2.0,0.0
compact,0,0.1,86974,2.0,0.0
compact,0,0.1,83746,2.0,0.0
compact,0,0.1,86361,2.0,0.0
compact,0,0.1,42449,2.0,0.0
compact,0,0.1,253,2.0,0.0
compact,0,0.1,94754,2.0,0.0
compact,0,0.1,91205,2.0,0.0
compact,0,0.1,59127,2.0,0.0
compact,0,0.1,78940,2.0,0.0
compact,0,0.1,68847,2.0,0.0
compact,0,0.1,55604,2.0,0.0
compact,0,0.1,99258,2.0,0.0
compact,0,0.1,44717,2.0,0.0
compact,0,0.1,85405,2.0,0.0
compact,0,0.1,15192,2.0,0.0
compact,0,0.1,63894,2.0,0.0
compact,0,0.1,57098,2.0,0.0
compact,0,0.1,11035,2.0,0.0
compact,0,0.1,61603,2.0,0.0
compact,0,0.1,5779,2.0,0.0
compact,0,0.1,30615,2.0,0.0
compact,0,0.1,35184,2.0,0.0
compact,0,0.1,52447,2.0,0.0
compact,0,0.1,19117,2.0,0.0
compact,0,0.1,18934,2.0,0.0
compact,0,0.1,28902,2.0,0.0
compact,0,0.1,11524,2.0,0.0
compact,0,0.15,45240,2.0,0.0
compact,0,0.15,23230,2.0,0.0
compact,0,0.15,65155,2.0,0.0
compact,0,0.15,82809,2.0,0.0
compact,0,0.15,5677,2.0,0.0
compact,0,0.15,52796,2.0,0.0
compact,0,0.15,46897,2.0,0.0
compact,0,0.15,90559,2.0,0.0
compact,0,0.15,38775,2.0,0.0
compact,0,0.15,16756,2.0,0.0
compact,0,0.15,29551,2.0,0.0
compact,0,0.15,73575,2.0,0.0
compact,0,0.15,1104,2.0,0.0
compact,0,0.15,90527,2.0,0.0
compact,0,0.15,98995,2.0,0.0
compact,0,0.15,35564,2.0,0.0
compact,0,0.15,87119,2.0,0.0
