fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.05,9882397830,2.0,0.0
diffuse,0,0.05,4437314296,2.0,0.0
interstitial,0,0.05,8563501408,2.0,0.0
patchy,0,0.05,9586652161,2.0,0.0
interstitial,0,0.05,9421603667,2.0,0.0
compact,0,0.05,9586683249,2.0,0.0
diffuse,0,0.05,1326487139,2.0,0.0
patchy,0,0.05,8563501408,2.0,0.0
interstitial,0,0.05,5847722053,2.0,0.0
compact,0,0.05,3729556780,2.0,0.0
diffuse,0,0.05,5678886323,2.0,0.0
patchy,0,0.05,9421603667,2.0,0.0
interstitial,0,0.05,4437314296,2.0,0.0
compact,0,0.05,381363842,2.0,0.0
patchy,0,0.05,5847722053,2.0,0.0
diffuse,0,0.05,2954531406,2.0,0.0
interstitial,0,0.05,1326487139,2.0,0.0
patchy,0,0.05,4437314296,2.0,0.0
compact,0,0.05,9625808203,2.0,0.0
diffuse,0,0.05,3945455660,2.0,0.0
interstitial,0,0.05,5678886323,2.0,0.0
patchy,0,0.05,1326487139,2.0,0.0
compact,0,0.05,8241580884,2.0,0.0
interstitial,0,0.05,2954531406,2.0,0.0
diffuse,0,0.05,8697495792,2.0,0.0
patchy,0,0.05,5678886323,2.0,0.0
interstitial,0,0.05,3945455660,2.0,0.0
compact,0,0.05,3753566142,2.0,0.0
diffuse,0,0.05,8636259798,2.0,0.0
patchy,0,0.05,2954531406,2.0,0.0
interstitial,0,0.05,8697495792,2.0,0.0
patchy,0,0.05,3945455660,2.0,0.0
compact,0,0.05,1806742986,2.0,0.0
diffuse,0,0.05,25234347,2.0,0.0
interstitial,0,0.05,8636259798,2.0,0.0
patchy,0,0.05,8697495792,2.0,0.0
compact,0,0.05,3093445294,2.0,0.0
diffuse,0,0.05,9120653987,2.0,0.0
interstitial,0,0.05,25234347,2.0,0.0
patchy,0,0.05,8636259798,2.0,0.0
interstitial,0,0.05,9120653987,2.0,0.0
compact,0,0.05,3871896320,2.0,0.0
diffuse,0,0.05,7894122240,2.0,0.0
patchy,0,0.05,25234347,2.0,0.0
interstitial,0,0.05,7894122240,2.0,0.0
compact,0,0.05,8813045331,2.0,0.0
diffuse,0,0.05,5560485340,2.0,0.0
patchy,0,0.05,9120653987,2.0,0.0
interstitial,0,0.05,5560485340,2.0,0.0
compact,0,0.05,5579809537,2.0,0.0
diffuse,0,0.05,4471704284,2.0,0.0
patchy,0,0.05,7894122240,2.0,0.0
interstitial,0,0.05,4471704284,2.0,0.0
patchy,0,0.05,5560485340,2.0,0.0
compact,0,0.05,7599830787,2.0,0.0
interstitial,0,0.05,1519198587,2.0,0.0
diffuse,0,0.05,1519198587,2.0,0.0
patchy,0,0.05,4471704284,2.0,0.0
interstitial,0,0.05,5709837683,2.0,0.0
compact,0,0.05,3783596351,2.0,0.0
